movie_name,genre,rating,vote_count,duration
Eden,thriller,6.4,13000,2h 9m
Relay,thriller,7.3,2000,1h 52m
Alien: Romulus,thriller,7.1,264000,1h 59m
Heretic,thriller,7.0,184000,1h 51m
The Surfer,thriller,6.0,14000,1h 40m
Babygirl,thriller,5.8,70000,1h 54m
Longlegs,thriller,6.6,202000,1h 41m
The Beekeeper,thriller,6.3,168000,1h 45m
Drive-Away Dolls,thriller,5.4,25000,1h 24m
Carry-On,thriller,6.5,178000,1h 59m
Conclave,thriller,7.4,217000,2h
Rebel Ridge,thriller,6.8,95000,2h 11m
Kraven the Hunter,thriller,5.5,71000,2h 7m
Twisters,thriller,6.5,182000,2h 2m
The Order,thriller,6.8,54000,1h 56m
Juror #2,thriller,7.0,112000,1h 54m
Kingdom of the Planet of the Apes,thriller,6.8,159000,2h 25m
Civil War,thriller,7.0,250000,1h 49m
Speak No Evil,thriller,6.8,118000,1h 50m
A Sacrifice,thriller,5.0,6300,1h 34m
Blink Twice,thriller,6.5,116000,1h 42m
Wolfs,thriller,6.5,93000,1h 48m
Subservience,thriller,5.4,32000,1h 46m
Road House,thriller,6.2,174000,2h 1m
Smile 2,thriller,6.7,122000,2h 7m
Presence,thriller,6.1,35000,1h 24m
Venom: The Last Dance,thriller,6.0,139000,1h 50m
The Count of Monte-Cristo,thriller,7.6,40000,2h 58m
Trap,thriller,5.8,149000,1h 45m
Oddity,thriller,6.7,50000,1h 38m
The Union,thriller,5.5,55000,1h 47m
September 5,thriller,7.1,30000,1h 35m
Borderlands,thriller,4.7,53000,1h 41m
Joker: Folie à Deux,thriller,5.2,171000,2h 18m
40 Acres,thriller,6.5,3500,1h 53m
Abigail,thriller,6.5,104000,1h 49m
Sharp Corner,thriller,5.9,2900,1h 50m
It's What's Inside,thriller,6.6,46000,1h 43m
Madame Web,thriller,4.1,106000,1h 56m
Caddo Lake,thriller,6.8,48000,1h 43m
Argylle,thriller,5.6,96000,2h 19m
A Quiet Place: Day One,thriller,6.3,160000,1h 39m
Elevation,thriller,5.6,26000,1h 31m
The A-Frame,thriller,5.4,187,1h 22m
Land of Bad,thriller,6.6,55000,1h 53m
Bad Boys: Ride or Die,thriller,6.5,106000,1h 55m
Barron's Cove,thriller,6.0,757,1h 56m
Monkey Man,thriller,6.8,96000,2h 1m
Don't Move,thriller,5.8,42000,1h 32m
Maharaja,thriller,8.4,73000,2h 21m
Arcadian,thriller,5.5,25000,1h 32m
The Watchers,thriller,5.7,61000,1h 42m
Miller's Girl,thriller,5.2,25000,1h 33m
Love Lies Bleeding,thriller,6.6,60000,1h 44m
Godzilla x Kong: The New Empire,thriller,6.0,127000,1h 55m
Sleeping Dogs,thriller,6.2,24000,1h 50m
Salem's Lot,thriller,5.6,37000,1h 54m
Noise,thriller,5.8,353,1h 33m
Beverly Hills Cop: Axel F,thriller,6.4,84000,1h 58m
The Crow,thriller,4.7,38000,1h 51m
Emilia Pérez,thriller,5.4,93000,2h 12m
River of Blood,thriller,4.8,2500,1h 26m
Bone Lake,thriller,6.6,89,1h 34m
Long Distance,thriller,5.7,5400,1h 26m
Cloud,thriller,6.4,2400,2h 4m
Kung Fu Panda 4,thriller,6.3,73000,1h 34m
Immaculate,thriller,5.8,56000,1h 29m
The Luckiest Man in America,thriller,6.2,5200,1h 31m
The Deliverance,thriller,5.1,24000,1h 52m
A Different Man,thriller,6.9,34000,1h 52m
Cuckoo,thriller,5.7,31000,1h 42m
Apartment 7A,thriller,5.9,18000,1h 47m
MadS,thriller,6.4,9700,1h 29m
Lembayung,thriller,5.9,824,2h 3m
Room Six,thriller,3.9,189,1h 21m
Mørkeland,thriller,6.2,1300,1h 39m
The Killer,thriller,5.7,15000,2h 6m
The Instigators,thriller,6.2,40000,1h 41m
The Rule of Jenny Pen,thriller,6.2,7800,1h 44m
Lucky Baskhar,thriller,8.0,37000,2h 28m
Time Cut,thriller,5.0,21000,1h 31m
Night Swim,thriller,4.7,29000,1h 38m
The Shadow Strays,thriller,6.5,10000,2h 24m
King Ivory,thriller,6.2,470,2h 10m
The Killer's Game,thriller,5.8,19000,1h 44m
Force of Nature: The Dry 2,thriller,5.9,8100,2h
Atlas,thriller,5.6,58000,1h 58m
The Shrouds,thriller,5.8,5800,2h
In Vitro,thriller,5.6,427,1h 29m
Hellboy: The Crooked Man,thriller,4.5,15000,1h 39m
The Seed of the Sacred Fig,thriller,7.6,17000,2h 47m
Shelby Oaks,thriller,5.4,363,1h 39m
Pushpa: The Rule - Part 2,thriller,6.1,61000,3h 21m
Kalki 2898 AD,thriller,7.0,70000,3h
Weekend in Taipei,thriller,5.7,5900,1h 40m
Went Up the Hill,thriller,6.2,222,1h 40m
Dirty Angels,thriller,4.5,4900,1h 44m
Werewolves,thriller,4.4,8100,1h 33m
Ask Me What You Want,thriller,3.9,1500,1h 54m
Lift,thriller,5.5,51000,1h 47m
F*** Marry Kill,thriller,5.4,4200,1h 37m
Bring Them Down,thriller,6.5,4800,1h 46m
Survive,thriller,4.6,3800,1h 30m
Dirty Boy,thriller,7.4,53,1h 38m
Queen of Bones,thriller,4.5,424,1h 30m
Please Don't Feed the Children,thriller,4.7,863,1h 34m
Homestead,thriller,5.2,4500,1h 52m
The Cut,thriller,6.7,133,1h 39m
Mothers' Instinct,thriller,6.3,22000,1h 34m
Long Gone Heroes,thriller,5.1,1600,1h 41m
Absolution,thriller,5.2,9600,1h 52m
The Courier,thriller,6.0,4900,1h 41m
The Master and Margarita,thriller,7.1,5600,2h 36m
In a Violent Nature,thriller,5.6,29000,1h 34m
Megamind vs. The Doom Syndicate,thriller,2.4,5900,1h 23m
Apocalypse Z: The Beginning of the End,thriller,6.1,22000,1h 57m
Never Let Go,thriller,5.4,17000,1h 41m
Uprising,thriller,6.6,6300,2h 6m
Push,thriller,4.7,782,1h 29m
Greedy People,thriller,6.2,13000,1h 52m
The Platform 2,thriller,4.9,43000,1h 39m
Cellar Door,thriller,5.2,5200,1h 37m
Boneyard,thriller,4.1,5500,1h 36m
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,thriller,7.2,9300,1h 44m
The Silent Hour,thriller,6.1,8900,1h 39m
Levels,thriller,5.0,1700,1h 33m
Under Paris,thriller,5.2,38000,1h 44m
Die Alone,thriller,5.8,4300,1h 30m
Bramayugam,thriller,7.8,15000,2h 19m
Armor,thriller,3.6,5000,1h 29m
The Wasp,thriller,6.1,5400,1h 36m
Skincare,thriller,5.7,5300,1h 36m
Canary Black,thriller,5.4,13000,1h 41m
The Prosecutor,thriller,6.5,3200,1h 57m
Succubus,thriller,4.6,1500,1h 43m
Dead Mail,thriller,6.0,2600,1h 46m
The Devil's Bath,thriller,6.6,7100,2h 1m
Kishkindha Kaandam,thriller,8.0,14000,2h 13m
Scurry,thriller,7.8,32,1h 30m
The Old Bachelor,thriller,7.9,1600,3h 12m
Take Cover,thriller,5.1,3300,1h 30m
Night Call,thriller,6.7,2800,1h 37m
On the Run,thriller,5.0,157,1h 40m
Red Right Hand,thriller,5.5,6300,1h 51m
Slingshot,thriller,5.7,11000,1h 48m
Alien: Rubicon,thriller,2.4,673,1h 26m
Chime,thriller,6.4,3000,45m
Sew Torn,thriller,6.0,1300,1h 40m
Black Dog,thriller,7.2,4300,1h 56m
Trigger Warning,thriller,4.6,20000,1h 46m
Shaitaan,thriller,6.5,55000,2h 12m
Magpie,thriller,6.2,4200,1h 30m
Life After Fighting,thriller,6.4,2300,2h 6m
Marmalade,thriller,6.3,3900,1h 39m
Twilight of the Warriors: Walled In,thriller,6.9,11000,2h 6m
Whisper of the Witch,thriller,3.9,353,1h 35m
Guns & Moses,thriller,6.4,270,1h 34m
Everyone Is Going to Die,thriller,3.8,470,1h 24m
Saint Clare,thriller,4.5,733,1h 32m
2073,thriller,5.1,3500,1h 25m
Blackwater Lane,thriller,4.6,2500,1h 48m
Killer Heat,thriller,5.6,14000,1h 35m
Manjummel Boys,thriller,8.2,30000,2h 15m
Santosh,thriller,7.1,2900,2h 8m
Saripodhaa Sanivaaram,thriller,7.0,11000,2h 46m
Black,thriller,7.1,3000,1h 55m
Outbreak,thriller,4.4,1500,1h 28m
Marco,thriller,6.7,24000,2h 25m
Grave Torture,thriller,6.2,3200,1h 57m
Do Patti,thriller,6.3,70000,2h 6m
The Corpse Washer,thriller,6.1,1400,1h 47m
The Exorcism,thriller,4.2,12000,1h 35m
Winner,thriller,6.5,2900,1h 43m
Sting,thriller,5.7,18000,1h 31m
Amber Alert,thriller,6.1,6300,1h 30m
Imaginary,thriller,4.7,18000,1h 44m
Sookshma Darshini,thriller,7.8,12000,2h 22m
The Soul Eater,thriller,5.8,3200,1h 48m
The Kingdom,thriller,7.0,1400,1h 52m
Bonhoeffer: Pastor. Spy. Assassin.,thriller,6.2,4100,2h 13m
My Fault,thriller,4.2,7200,2h
Something in the Water,thriller,4.1,5400,1h 26m
Afraid,thriller,5.2,15000,1h 24m
Humane,thriller,5.5,7900,1h 33m
Undercover,thriller,7.1,5200,1h 58m
Bagheera,thriller,6.7,8100,2h 38m
Maranam,thriller,7.5,1000,N/A
Damaged,thriller,4.7,7900,1h 37m
Sector 36,thriller,7.1,26000,2h 3m
Inside,thriller,6.3,747,1h 44m
The Greatest of All Time,thriller,5.7,24000,3h 3m
Bedspacer,thriller,4.4,408,1h 30m
Restless,thriller,6.3,906,1h 29m
Dead Talents Society,thriller,7.0,2900,1h 51m
Rich Flu,thriller,5.0,6900,1h 56m
Drive Back,thriller,4.5,786,1h 34m
We Bury the Dead,thriller,6.3,157,1h 34m
Grafted,thriller,5.6,2900,1h 36m
Lake George,thriller,6.4,1700,1h 58m
The Intruder,thriller,4.6,602,1h 41m
Shell,thriller,6.7,86,1h 40m
The Contract,thriller,6.9,90,1h 45m
Escape,thriller,6.4,2400,1h 34m
The Mouse Trap,thriller,2.4,3800,1h 20m
Depravity,thriller,4.3,1300,1h 57m
One of Those Days When Hemme Dies,thriller,6.3,1100,1h 23m
V/H/S/Beyond,thriller,5.8,10000,1h 54m
She's Got No Name,thriller,5.5,363,1h 34m
Blood Star,thriller,6.3,6300,1h 37m
Hidden Face,thriller,6.1,751,1h 55m
The Inheritance,thriller,4.7,3200,1h 25m
Things Will Be Different,thriller,5.2,3000,1h 42m
No Way Up,thriller,4.6,11000,1h 30m
How to Make a Killing,thriller,6.5,1800,1h 49m
The Ruse,thriller,7.1,583,1h 45m
Simp,thriller,3.2,180,1h 40m
Pani,thriller,6.9,3500,2h 23m
Aftermath,thriller,5.2,4600,1h 37m
Thalavan,thriller,7.2,5800,2h 11m
Viduthalai Part 2,thriller,7.7,17000,2h 50m
Race for Glory: Audi vs. Lancia,thriller,5.8,5300,1h 49m
Chief of Station,thriller,4.7,5100,1h 37m
Singham Again,thriller,4.3,76000,2h 24m
Brief History of a Family,thriller,6.8,618,1h 40m
Somnium,thriller,8.4,73,1h 32m
A Desert,thriller,5.6,685,1h 43m
Code 8: Part II,thriller,5.7,16000,1h 40m
Gazer,thriller,5.6,358,1h 54m
Milk & Serial,thriller,6.6,2800,1h 2m
Breathe,thriller,4.3,7800,1h 33m
Bitter Gold,thriller,7.7,101,1h 23m
Badland Hunters,thriller,5.9,13000,1h 47m
Devil Is a Liar,thriller,N/A,N/A,1h 39m
The Front Room,thriller,4.6,6100,1h 34m
The Clean Up Crew,thriller,4.2,1400,1h 35m
Despatch,thriller,4.4,4800,2h 33m
Sikandar Ka Muqaddar,thriller,6.0,25000,2h 22m
The Roundup: Punishment,thriller,6.6,6000,1h 49m
A Mistake,thriller,5.7,1300,1h 41m
Sons,thriller,6.4,2600,1h 40m
Maldoror,thriller,6.6,1300,2h 35m
Sumala,thriller,5.8,1300,1h 52m
Classified,thriller,3.7,3000,1h 45m
Merry Christmas,thriller,6.9,30000,2h 24m
Zero,thriller,5.8,93,1h 28m
Prey,thriller,3.7,3700,1h 26m
5lbs of Pressure,thriller,5.3,1800,1h 51m
Devara Part 1,thriller,6.0,22000,2h 56m
Dead Money,thriller,5.8,802,1h 40m
Lioness,thriller,7.1,243,1h 44m
Parallel,thriller,5.3,2100,1h 28m
Elyas,thriller,6.1,1800,1h 45m
Believer,thriller,4.7,499,1h 48m
Motel Destino,thriller,6.5,2300,1h 55m
Winnie-the-Pooh: Blood and Honey 2,thriller,4.6,12000,1h 33m
The Hostage,thriller,4.3,20,1h 27m
Crescent City,thriller,3.9,1500,1h 43m
Death Whisperer 2,thriller,6.3,1600,1h 50m
Vanished Into the Night,thriller,5.2,4900,1h 32m
Hijack '93,thriller,3.8,1000,1h 27m
Harbin,thriller,6.2,1200,1h 48m
CTRL,thriller,6.2,6500,1h 39m
Yodha,thriller,5.7,9100,2h 10m
Raayan,thriller,6.5,13000,2h 25m
Compulsion,thriller,6.2,48,R
Bade Miyan Chote Miyan,thriller,3.8,40000,2h 43m
The Thundermans Return,thriller,5.0,2000,1h 10m
Why Do You?,thriller,5.4,493,1h 43m
Beezel,thriller,4.9,1700,1h 21m
1978,thriller,5.0,956,1h 20m
Bad Genius,thriller,6.2,2800,1h 36m
Detained,thriller,4.9,2000,1h 37m
The Wages of Fear,thriller,4.6,4300,1h 44m
House of Spoils,thriller,5.0,4100,1h 41m
Following,thriller,6.5,1500,1h 42m
The Painted,thriller,4.9,1300,1h 25m
Dead Sea,thriller,5.2,5600,1h 28m
Lazareth,thriller,4.4,1100,1h 26m
Jigra,thriller,6.0,24000,2h 33m
Here After,thriller,4.2,1900,1h 33m
Cult Killer,thriller,4.8,3100,1h 45m
To Die Alone,thriller,4.8,125,1h 24m
Maid Droid Origins,thriller,3.0,359,1h 36m
Moon,thriller,6.8,680,1h 32m
Wynonna Earp: Vengeance,thriller,5.6,1800,1h 36m
Darkest Miriam,thriller,5.7,407,1h 27m
Kali,thriller,5.2,434,1h 36m
"I, the Executioner",thriller,6.3,2200,1h 58m
Dancing Village: The Curse Begins,thriller,5.7,4300,2h 2m
Reawakening,thriller,6.2,447,1h 30m
Blackout,thriller,6.1,11000,2h 2m
Estela,thriller,5.5,54,1h 29m
In Flight,thriller,3.6,267,1h 30m
The Painter,thriller,4.7,2500,1h 40m
Colors of Evil: Red,thriller,6.4,8900,1h 51m
The Image of You,thriller,4.6,947,1h 30m
Zebra,thriller,7.1,3400,2h 44m
Karma,thriller,7.9,1500,2h 47m
Anweshippin Kandethum,thriller,7.4,11000,2h 22m
Cinderella's Revenge,thriller,3.8,1300,1h 25m
Baby John,thriller,5.0,18000,2h 39m
Bougainvillea,thriller,6.4,3500,2h 18m
A Stranger's Child,thriller,5.6,166,1h 28m
Blue Lock: Episode Nagi,thriller,6.6,2800,1h 31m
Weapon,thriller,5.6,6500,2h
Sayara,thriller,5.6,421,1h 38m
The Stepdaughter 2,thriller,7.3,81,TV-14
The Body,thriller,6.3,531,1h 56m
Nirangal Moondru,thriller,6.1,599,2h 2m
Cheat,thriller,4.1,228,1h 45m
Butas,thriller,4.7,194,1h 52m
Freedom,thriller,5.9,1500,1h 50m
Utopia,thriller,3.7,516,1h 31m
Continental Split,thriller,3.6,594,1h 28m
Unit 234,thriller,5.4,925,1h 26m
Blink,thriller,6.9,1600,2h 16m
11 Rebels,thriller,6.2,897,2h 35m
Steppenwolf,thriller,6.3,562,1h 42m
Phir Aayi Hasseen Dillruba,thriller,5.8,7100,2h 12m
Hold Your Breath,thriller,5.3,9200,1h 34m
Green Bones,thriller,7.0,570,1h 36m
The Last Front,thriller,5.5,668,1h 38m
The Sleeping Woman,thriller,5.3,618,1h 50m
Shoutai,thriller,6.8,793,2h
Spirit in the Blood,thriller,4.6,564,1h 38m
The Price of Money: A Largo Winch Adventure,thriller,5.1,1400,1h 40m
Roadkill,thriller,3.7,711,1h 30m
Konchitsya leto,thriller,6.8,489,1h 58m
Electra,thriller,4.2,143,1h 25m
Waves,thriller,7.8,2200,2h 11m
Yudhra,thriller,4.9,14000,2h 22m
Laws of Man,thriller,4.9,1400,1h 38m
The Correspondent,thriller,7.4,149,1h 59m
Altered Reality,thriller,6.1,1300,1h 38m
The Smile Man,thriller,7.2,2300,2h 2m
Sugar Baby,thriller,3.9,436,1h 28m
Eat the Night,thriller,6.1,644,1h 46m
Blame the Game,thriller,5.4,5500,1h 32m
The Good Teacher,thriller,6.6,2200,1h 31m
Snatched,thriller,5.9,540,1h 41m
The Last Breath,thriller,4.7,2800,1h 36m
Fit for Murder,thriller,5.8,147,1h 41m
Tyler Perry's Divorce in the Black,thriller,4.6,3700,2h 23m
Hisaab Barabar,thriller,5.8,2000,1h 52m
The American Backyard,thriller,6.1,297,1h 47m
Vedaa,thriller,6.0,4600,2h 25m
Pune Highway,thriller,4.9,945,2h 1m
Clear Cut,thriller,3.6,620,1h 28m
The Playroom,thriller,6.7,198,1h 40m
Boundless,thriller,5.6,2200,2h 1m
Lights Out,thriller,4.9,1900,1h 30m
Bloody Beggar,thriller,6.2,4800,2h 14m
The Stepdaughter,thriller,5.3,268,1h 45m
McVeigh,thriller,4.5,623,1h 30m
To a Land Unknown,thriller,7.3,814,1h 45m
Outside,thriller,5.1,5000,2h 22m
Cinderella's Curse,thriller,3.4,1400,1h 22m
Hellhound,thriller,4.3,567,1h 43m
The Only Ones,thriller,6.9,35,1h 17m
The Matriarch,thriller,8.1,211,1h 22m
Sunrise,thriller,3.9,1300,1h 33m
Die Before You Die,thriller,6.8,39,1h 44m
Out Come the Wolves,thriller,4.7,1900,1h 26m
Last Night on Earth,thriller,4.7,455,1h 26m
Last Night at Terrace Lanes,thriller,4.4,667,1h 15m
Eagle,thriller,5.9,5000,2h 39m
Der Deserteur,thriller,8.1,43,1h 33m
Rest in Peace,thriller,5.8,2400,1h 45m
We Work for the Dead,thriller,6.3,520,1h 24m
Waltz,thriller,9.4,8,N/A
The Calendar Killer,thriller,5.4,4600,1h 37m
Dominique,thriller,5.3,2500,1h 40m
72 Hours,thriller,4.1,352,1h 27m
Haunt Season,thriller,4.9,973,1h 21m
DarkGame,thriller,4.6,3000,1h 40m
Os Enforcados,thriller,7.2,138,2h 3m
Stolen,thriller,5.7,2300,1h 45m
Logout,thriller,7.2,1400,1h 48m
The Shameless,thriller,5.9,340,1h 54m
Operation Blood Hunt,thriller,3.4,550,1h 33m
The Train of Death,thriller,4.7,757,1h 43m
One More Shot,thriller,5.4,3900,1h 43m
Sir,thriller,7.8,2100,2h 12m
Against the Spread,thriller,8.7,37,1h 35m
Seeds,thriller,5.0,271,1h 22m
The Monster Beneath Us,thriller,5.1,512,1h 43m
Rippy,thriller,4.1,1100,1h 23m
Captain Miller,thriller,7.2,14000,2h 37m
Heart of the Hunter,thriller,4.7,2200,1h 45m
#AMFAD: All My Friends Are Dead,thriller,4.5,1300,1h 31m
Familia,thriller,6.9,479,2h
Serpent's Path,thriller,5.8,328,1h 52m
Nefarious,thriller,7.2,57,1h 25m
The Bad Shepherd,thriller,4.3,867,1h 31m
Ulajh,thriller,6.0,25000,2h 30m
Salawahan,thriller,4.4,498,1h 56m
Demonte Colony 2,thriller,6.5,4700,2h 24m
Le Mohican,thriller,6.7,343,1h 27m
The Judgement,thriller,7.6,107,2h 31m
Scorched Earth,thriller,6.6,729,1h 41m
Hunting Daze,thriller,5.4,627,1h 19m
Bionic,thriller,4.3,1800,1h 50m
Shadow Land,thriller,3.6,488,1h 29m
Tezgah,thriller,5.3,236,1h 40m
Held Hostage in My House,thriller,4.6,158,1h 30m
A Stranger by the Hill,thriller,3.9,62,1h 40m
Skeletons in the Closet,thriller,3.0,582,1h 32m
Three,thriller,6.3,199,1h 33m
The Devil's Disciples,thriller,7.8,54,1h 22m
Oshi no Ko: The Final Act,thriller,6.1,220,2h 9m
The Stoic,thriller,3.5,343,1h 36m
The Getaway,thriller,6.2,86,1h 26m
The Hunted,thriller,5.1,452,1h 34m
The Girl in the Pool,thriller,4.3,1700,1h 29m
Hunting Matthew Nichols,thriller,8.2,56,1h 36m
Unpredictable,thriller,5.4,435,1h 41m
The Past Comes Knocking,thriller,5.7,83,1h 21m
Who's Cheating Who?,thriller,7.1,104,1h 36m
Warning 2,thriller,7.1,909,2h 5m
Invasion,thriller,4.8,779,1h 31m
Athomugam,thriller,7.0,657,2h 10m
Osomoy,thriller,6.9,496,2h 41m
Kangaroo,thriller,6.2,193,2h 20m
The Diary,thriller,5.0,1100,1h 22m
Mirza: Part 1 - Joker,thriller,6.8,245,2h 45m
Legally Veer,thriller,6.5,5200,2h 22m
Reloaded 2,thriller,7.3,1300,45m
Mafia Wars,thriller,3.6,310,1h 38m
Angels Fallen: Warriors of Peace,thriller,4.8,6500,1h 43m
You Can't Run Forever,thriller,4.5,4500,1h 42m
Maharaj,thriller,6.5,15000,2h 11m
Operation: Raqqa,thriller,5.6,344,1h 47m
Atypical Pirate,thriller,N/A,N/A,N/A
Sikaar,thriller,8.2,696,2h 30m
El instinto,thriller,6.6,128,1h 32m
Jagat,thriller,8.1,73,2h 21m
Succubus,thriller,3.5,923,1h 36m
Article 370,thriller,7.8,25000,2h 38m
Kanguva,thriller,4.5,15000,2h 32m
Martin,thriller,2.2,36000,2h 27m
Arenas,thriller,5.8,68,1h 34m
Here Now,thriller,4.9,560,1h 58m
